a,b,c,d,e,f,g,h,i,j
PT-0002-0476TX-0057-001,23129,,PT-0002-0476,LEVIS DENIM ESPUMA 0317 NG PELLON NG,8126,TX-0057-001,LEVIS DENIM,BON_PROD,Y,1
PT-0002-0476ES-0002-007,23130,,PT-0002-0476,LEVIS DENIM ESPUMA 0317 NG PELLON NG,8127,ES-0002-007,PEELER 030-014 NEGRO U,BON_PROD,Y,1
PT-0002-0476TX-0054-003,23131,,PT-0002-0476,LEVIS DENIM ESPUMA 0317 NG PELLON NG,8128,TX-0054-003,PELLON NEGRO,BON_PROD,Y,1
PT-0002-0476PR-0001-001,23132,,PT-0002-0476,LEVIS DENIM ESPUMA 0317 NG PELLON NG,8129,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,2
PT-0002-0477TX-0057-001,23133,,PT-0002-0477,LEVIS DENIM SARGA CRUDO 1040001909,8130,TX-0057-001,LEVIS DENIM,BON_PROD,Y,1
PT-0002-0477TX-0108-002,23134,,PT-0002-0477,LEVIS DENIM SARGA CRUDO 1040001909,8131,TX-0108-002,SARGA FM CRUDO PASTOR,BON_PROD,Y,1
PT-0002-0477PR-0001-011,23135,,PT-0002-0477,LEVIS DENIM SARGA CRUDO 1040001909,8132,PR-0001-011,PROCESO DE FILM,BON_PROD,Y,1
PT-0002-0477PG-0001-012,23136,,PT-0002-0477,LEVIS DENIM SARGA CRUDO 1040001909,8133,PG-0001-012,FILM ADHESIVO SMELLTEX HM25 1.45 ROLLO,BONINSUM,Y,1.45
PT-0002-0478TX-0059-010,23137,,PT-0002-0478,LICRA SPORT NEGRO BASE DN 060 GR,8134,TX-0059-010,LICRA SPORT NEGRO 1040002394,MATP,Y,1
PT-0002-0478BA-0001-006,23138,,PT-0002-0478,LICRA SPORT NEGRO BASE DN 060 GR,8135,BA-0001-006,BASE GRIS DN 060 RP,MATP,Y,1
PT-0002-0478PR-0001-011,23139,,PT-0002-0478,LICRA SPORT NEGRO BASE DN 060 GR,8136,PR-0001-011,PROCESO DE FILM,BON_PROD,Y,1
PT-0002-0478PG-0001-025,23140,,PT-0002-0478,LICRA SPORT NEGRO BASE DN 060 GR,8137,PG-0001-025,ADHESIVO SMELLTEX TPU CE 200 1.50,BONINSUM,Y,1.5
PT-0002-0479TX-0266-006,23141,,PT-0002-0479,MIA GRIS CLARO TST 270 SUAVE BC,8138,TX-0266-006,MIA GRIS CLARO,MATP,Y,1
PT-0002-0479TX-0127-005,23142,,PT-0002-0479,MIA GRIS CLARO TST 270 SUAVE BC,8139,TX-0127-005,TST 270 BLANCO SUAVE,MATP,Y,1
PT-0002-0479PR-0001-001,23143,,PT-0002-0479,MIA GRIS CLARO TST 270 SUAVE BC,8140,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,1
PT-0002-0479PG-0001-030,23144,,PT-0002-0479,MIA GRIS CLARO TST 270 SUAVE BC,8141,PG-0001-030,BRASMELT PLUS 250,BON_PROD,Y,1.45
PT-0002-0480PR-0001-027,23145,,PT-0002-0480,LINEAS AZUL MARINO KOREANO 70 BC,8142,PR-0001-027,PROCESO LAMINADO ACRILICO TELA CON TELA,BON_PROD,Y,1
PT-0002-0480TX-0054-009,23146,,PT-0002-0480,LINEAS AZUL MARINO KOREANO 70 BC,8143,TX-0054-009,KOREANO STD BLANCO,TEIMP,Y,1
PT-0002-0480TX-0060-001,23147,,PT-0002-0480,LINEAS AZUL MARINO KOREANO 70 BC,8144,TX-0060-001,LINEAS AZUL MARINO,BON_PROD,N,1
PT-0002-0481PR-0001-001,23148,,PT-0002-0481,LINEAS NEGRO KOREANO 70 BC,8145,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,1
PT-0002-0481TX-0054-009,23149,,PT-0002-0481,LINEAS NEGRO KOREANO 70 BC,8146,TX-0054-009,KOREANO STD BLANCO,TEIMP,Y,1
PT-0002-0481TX-0060-002,23150,,PT-0002-0481,LINEAS NEGRO KOREANO 70 BC,8147,TX-0060-002,LINEAS NEGRO,BON_PROD,N,1
PT-0002-0482TX-0060-003,23151,,PT-0002-0482,LINEAS ROJO KOREANO 70 BC,8148,TX-0060-003,LINEAS ROJO,BON_PROD,N,1
PT-0002-0482TX-0054-009,23152,,PT-0002-0482,LINEAS ROJO KOREANO 70 BC,8149,TX-0054-009,KOREANO STD BLANCO,TEIMP,Y,1
PT-0002-0482PR-0001-027,23153,,PT-0002-0482,LINEAS ROJO KOREANO 70 BC,8150,PR-0001-027,PROCESO LAMINADO ACRILICO TELA CON TELA,BON_PROD,Y,1
PT-0002-0483TX-0065-012,23154,,PT-0002-0483,LONA FORTE PLASTICK PINK ESPUMA 0417 BC,8151,TX-0065-012,LONA FORTE PLASTIC PINK,MATP,Y,1
PT-0002-0483ES-0002-019,23155,,PT-0002-0483,LONA FORTE PLASTICK PINK ESPUMA 0417 BC,8152,ES-0002-019,PEELER 040-014 BLANCO U,BON_PROD,Y,1
PT-0002-0483PR-0001-001,23156,,PT-0002-0483,LONA FORTE PLASTICK PINK ESPUMA 0417 BC,8153,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,1
PT-0002-0484TX-0065-011,23157,,PT-0002-0484,LONA FORTE COSECHA BASE DN 060 GR,8154,TX-0065-011,LONA FORTE COSECHA,MATP,Y,1
PT-0002-0484BA-0001-006,23158,,PT-0002-0484,LONA FORTE COSECHA BASE DN 060 GR,8155,BA-0001-006,BASE GRIS DN 060 RP,MATP,Y,1
PT-0002-0484PR-0001-011,23159,,PT-0002-0484,LONA FORTE COSECHA BASE DN 060 GR,8156,PR-0001-011,PROCESO DE FILM,BON_PROD,Y,1
PT-0002-0484PG-0001-031,23160,,PT-0002-0484,LONA FORTE COSECHA BASE DN 060 GR,8157,PG-0001-031,BRASMELT TPU PX 200,BON_PROD,Y,1.5
PT-0002-0485TX-0065-002,23161,,PT-0002-0485,LONA FORTE ARENA OXFORD NEGRO,8158,TX-0065-002,LONA FORTE ARENA,BON_PROD,Y,1
PT-0002-0485TX-0108-006,23162,,PT-0002-0485,LONA FORTE ARENA OXFORD NEGRO,8159,TX-0108-006,GEORGIA NEGRO,MATP,N,1
PT-0002-0485PR-0001-027,23163,,PT-0002-0485,LONA FORTE ARENA OXFORD NEGRO,8160,PR-0001-027,PROCESO LAMINADO ACRILICO TELA CON TELA,BON_PROD,Y,1
PT-0002-0486PR-0001-011,23164,,PT-0002-0486,LONA FORTE ARENA SARGA CRUDO,8161,PR-0001-011,PROCESO DE FILM,BON_PROD,Y,1
PT-0002-0486TX-0065-002,23165,,PT-0002-0486,LONA FORTE ARENA SARGA CRUDO,8162,TX-0065-002,LONA FORTE ARENA,BON_PROD,Y,1
PT-0002-0486TX-0108-002,23166,,PT-0002-0486,LONA FORTE ARENA SARGA CRUDO,8163,TX-0108-002,SARGA FM CRUDO PASTOR,BON_PROD,Y,1
PT-0002-0487TX-0265-002,23167,,PT-0002-0487,LONA IRIS VERDE FOREST EVA 020040 NG,8164,TX-0265-002,LONA IRIS VERDE FOREST,TEIMP,Y,1
PT-0002-0487PR-0001-011,23168,,PT-0002-0487,LONA IRIS VERDE FOREST EVA 020040 NG,8165,PR-0001-011,PROCESO DE FILM,BON_PROD,Y,1
PT-0002-0487EV-0002-003,23169,,PT-0002-0487,LONA IRIS VERDE FOREST EVA 020040 NG,8166,EV-0002-003,EVA 020040 NEGRO VIC,MATP,Y,1
PT-0002-0487PG-0001-012,23170,,PT-0002-0487,LONA IRIS VERDE FOREST EVA 020040 NG,8167,PG-0001-012,FILM ADHESIVO SMELLTEX HM25 1.45 ROLLO,BONINSUM,Y,1.45
PT-0002-0487PG-0001-001,23171,,PT-0002-0487,LONA IRIS VERDE FOREST EVA 020040 NG,8168,PG-0001-001,ADHESIVO SMELLTEX TPU PX 1.50,BONINSUM,Y,1.5
PT-0002-0488TX-0265-003,23172,,PT-0002-0488,LONA IRIS MARINO EVA 020040 NG,8169,TX-0265-003,LONA IRIS MARINO,TEIMP,Y,1
PT-0002-0488PR-0001-011,23173,,PT-0002-0488,LONA IRIS MARINO EVA 020040 NG,8170,PR-0001-011,PROCESO DE FILM,BON_PROD,Y,1
PT-0002-0488EV-0002-003,23174,,PT-0002-0488,LONA IRIS MARINO EVA 020040 NG,8171,EV-0002-003,EVA 020040 NEGRO VIC,MATP,Y,1
PT-0002-0488PG-0001-001,23175,,PT-0002-0488,LONA IRIS MARINO EVA 020040 NG,8172,PG-0001-001,ADHESIVO SMELLTEX TPU PX 1.50,BONINSUM,Y,1.5
PT-0002-0488PG-0001-012,23176,,PT-0002-0488,LONA IRIS MARINO EVA 020040 NG,8173,PG-0001-012,FILM ADHESIVO SMELLTEX HM25 1.45 ROLLO,BONINSUM,Y,1.45
PT-0002-0489TX-0265-001,23177,,PT-0002-0489,LONA IRIS NEGRO EVA 020040 NG,8174,TX-0265-001,LONA IRIS NEGRO,TEIMP,Y,1
PT-0002-0489PR-0001-011,23178,,PT-0002-0489,LONA IRIS NEGRO EVA 020040 NG,8175,PR-0001-011,PROCESO DE FILM,BON_PROD,Y,1
PT-0002-0489EV-0002-003,23179,,PT-0002-0489,LONA IRIS NEGRO EVA 020040 NG,8176,EV-0002-003,EVA 020040 NEGRO VIC,MATP,Y,1
PT-0002-0489PG-0001-001,23180,,PT-0002-0489,LONA IRIS NEGRO EVA 020040 NG,8177,PG-0001-001,ADHESIVO SMELLTEX TPU PX 1.50,BONINSUM,Y,1.5
PT-0002-0489PG-0001-012,23181,,PT-0002-0489,LONA IRIS NEGRO EVA 020040 NG,8178,PG-0001-012,FILM ADHESIVO SMELLTEX HM25 1.45 ROLLO,BONINSUM,Y,1.45
PT-0002-0490PR-0001-001,23182,,PT-0002-0490,LONA FORTE AZUL MARINO KOREANO 70 NG,8179,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,1
PT-0002-0490TX-0054-010,23183,,PT-0002-0490,LONA FORTE AZUL MARINO KOREANO 70 NG,8180,TX-0054-010,KOREANO STD NEGRO,TEIMP,Y,1
PT-0002-0490TX-0065-001,23184,,PT-0002-0490,LONA FORTE AZUL MARINO KOREANO 70 NG,8181,TX-0065-001,LONA FORTE AZUL MARINO,BON_PROD,Y,1
PT-0002-0491PR-0001-027,23185,,PT-0002-0491,LONA FORTE AZUL MARINO OXFORD NEGRO,8182,PR-0001-027,PROCESO LAMINADO ACRILICO TELA CON TELA,BON_PROD,Y,1
PT-0002-0491TX-0065-001,23186,,PT-0002-0491,LONA FORTE AZUL MARINO OXFORD NEGRO,8183,TX-0065-001,LONA FORTE AZUL MARINO,BON_PROD,Y,1
PT-0002-0491TX-0092-006,23187,,PT-0002-0491,LONA FORTE AZUL MARINO OXFORD NEGRO,8184,TX-0092-006,OXFORD NEGRO,BON_PROD,N,1
PT-0002-0492PR-0001-011,23188,,PT-0002-0492,LONA FORTE AZUL MARINO SARGA CRUDO 1040002125,8185,PR-0001-011,PROCESO DE FILM,BON_PROD,Y,1
PT-0002-0492TX-0065-001,23189,,PT-0002-0492,LONA FORTE AZUL MARINO SARGA CRUDO 1040002125,8186,TX-0065-001,LONA FORTE AZUL MARINO,BON_PROD,Y,1
PT-0002-0492TX-0108-002,23190,,PT-0002-0492,LONA FORTE AZUL MARINO SARGA CRUDO 1040002125,8187,TX-0108-002,SARGA FM CRUDO PASTOR,BON_PROD,Y,1
PT-0002-0492PG-0001-006,23191,,PT-0002-0492,LONA FORTE AZUL MARINO SARGA CRUDO 1040002125,8188,PG-0001-006,FILM ADHESIVO SMELLTEX HM 35 1.45 ROLLO,BON_PROD,Y,1.45
PT-0002-0492PG-0001-031,23192,,PT-0002-0492,LONA FORTE AZUL MARINO SARGA CRUDO 1040002125,8189,PG-0001-031,BRASMELT TPU PX 200,BON_PROD,Y,1.5
PT-0002-0493TX-0059-027,23193,,PT-0002-0493,LICRA SPORT CASIS ESPUMA 0417 NG FORRO GASA NG,8190,TX-0059-027,LICRA SPORT CASIS,BON_PROD,Y,1
PT-0002-0493ES-0002-075,23194,,PT-0002-0493,LICRA SPORT CASIS ESPUMA 0417 NG FORRO GASA NG,8191,ES-0002-075,PEELER 040-014 NEGRO 33,BON_PROD,Y,1
PT-0002-0493TX-0040-002,23195,,PT-0002-0493,LICRA SPORT CASIS ESPUMA 0417 NG FORRO GASA NG,8192,TX-0040-002,FORRO GASA NEGRO,BON_PROD,Y,1
PT-0002-0493PR-0001-001,23196,,PT-0002-0493,LICRA SPORT CASIS ESPUMA 0417 NG FORRO GASA NG,8193,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,2
PT-0002-0494TX-0266-004,23197,,PT-0002-0494,MIA LATTE TST 270 SUAVE BC,8194,TX-0266-004,MIA LATTE,MATP,Y,1
PT-0002-0494TX-0127-005,23198,,PT-0002-0494,MIA LATTE TST 270 SUAVE BC,8195,TX-0127-005,TST 270 BLANCO SUAVE,MATP,Y,1
PT-0002-0494PR-0001-001,23199,,PT-0002-0494,MIA LATTE TST 270 SUAVE BC,8196,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,1
PT-0002-0494PG-0001-030,23200,,PT-0002-0494,MIA LATTE TST 270 SUAVE BC,8197,PG-0001-030,BRASMELT PLUS 250,BON_PROD,Y,1.45
PT-0002-0495TX-0065-004,23201,,PT-0002-0495,LONA FORTE MOKA SARGA CRUDO,8198,TX-0065-004,LONA FORTE MOKA,BON_PROD,Y,1
PT-0002-0495TX-0108-002,23202,,PT-0002-0495,LONA FORTE MOKA SARGA CRUDO,8199,TX-0108-002,SARGA FM CRUDO PASTOR,BON_PROD,Y,1
PT-0002-0495PR-0001-011,23203,,PT-0002-0495,LONA FORTE MOKA SARGA CRUDO,8200,PR-0001-011,PROCESO DE FILM,BON_PROD,Y,1
PT-0002-0495PG-0001-031,23204,,PT-0002-0495,LONA FORTE MOKA SARGA CRUDO,8201,PG-0001-031,BRASMELT TPU PX 200,BON_PROD,Y,1.5
PT-0002-0496TX-0265-005,23205,,PT-0002-0496,LONA IRIS BLANCO ESPUMA 0417 BC TST 180 RIGIDO BC,8202,TX-0265-005,LONA IRIS BLANCO,MATP,Y,1
PT-0002-0496ES-0002-019,23206,,PT-0002-0496,LONA IRIS BLANCO ESPUMA 0417 BC TST 180 RIGIDO BC,8203,ES-0002-019,PEELER 040-014 BLANCO U,BON_PROD,Y,1
PT-0002-0496TX-0127-003,23207,,PT-0002-0496,LONA IRIS BLANCO ESPUMA 0417 BC TST 180 RIGIDO BC,8204,TX-0127-003,TST 180 BLANCO RIGIDO,MATP,Y,1
PT-0002-0496PR-0001-001,23208,,PT-0002-0496,LONA IRIS BLANCO ESPUMA 0417 BC TST 180 RIGIDO BC,8205,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,2
PT-0002-0497TX-0065-003,23209,,PT-0002-0497,LONA FORTE GRIS OXFORD SARGA CRUDO,8206,TX-0065-003,LONA FORTE GRIS OXFORD,BON_PROD,Y,1
PT-0002-0497TX-0108-005,23210,,PT-0002-0497,LONA FORTE GRIS OXFORD SARGA CRUDO,8207,TX-0108-005,SARGA CRUDO,TEIMP,Y,1
PT-0002-0497PR-0001-011,23211,,PT-0002-0497,LONA FORTE GRIS OXFORD SARGA CRUDO,8208,PR-0001-011,PROCESO DE FILM,BON_PROD,Y,1
PT-0002-0498TX-0266-002,23212,,PT-0002-0498,MIA CELESTE TST 270 SUAVE BC,8209,TX-0266-002,MIA CELESTE,MATP,Y,1
PT-0002-0498TX-0127-005,23213,,PT-0002-0498,MIA CELESTE TST 270 SUAVE BC,8210,TX-0127-005,TST 270 BLANCO SUAVE,MATP,Y,1
PT-0002-0498PR-0001-001,23214,,PT-0002-0498,MIA CELESTE TST 270 SUAVE BC,8211,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,1
PT-0002-0498PG-0001-030,23215,,PT-0002-0498,MIA CELESTE TST 270 SUAVE BC,8212,PG-0001-030,BRASMELT PLUS 250,BON_PROD,Y,1.45
PT-0002-0499SI-0126-001,23216,,PT-0002-0499,TEXANO NEGRO FLIS NG,8213,SI-0126-001,TEXANO NEGRO,BON_PROD,Y,1
PT-0002-0499TX-0171-001,23217,,PT-0002-0499,TEXANO NEGRO FLIS NG,8214,TX-0171-001,FLIS NEGRO,BON_PROD,Y,1
PT-0002-0499PR-0001-011,23218,,PT-0002-0499,TEXANO NEGRO FLIS NG,8215,PR-0001-011,PROCESO DE FILM,BON_PROD,Y,1
PT-0002-0499PG-0001-012,23219,,PT-0002-0499,TEXANO NEGRO FLIS NG,8216,PG-0001-012,FILM ADHESIVO SMELLTEX HM25 1.45 ROLLO,BON_PROD,Y,1.45
PT-0002-0500PR-0001-027,23220,,PT-0002-0500,LONA FORTE GRIS OXFORD OXFORD NEGRO,8217,PR-0001-027,PROCESO LAMINADO ACRILICO TELA CON TELA,BON_PROD,Y,1
PT-0002-0500TX-0065-003,23221,,PT-0002-0500,LONA FORTE GRIS OXFORD OXFORD NEGRO,8218,TX-0065-003,LONA FORTE GRIS OXFORD,BON_PROD,Y,1
PT-0002-0500TX-0108-006,23222,,PT-0002-0500,LONA FORTE GRIS OXFORD OXFORD NEGRO,8219,TX-0108-006,GEORGIA NEGRO,MATP,N,1
PT-0002-0501PR-0001-001,23223,,PT-0002-0501,LONA FORTE GRIS OXFORD TST 180 NG,8220,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,1
PT-0002-0501TX-0065-003,23224,,PT-0002-0501,LONA FORTE GRIS OXFORD TST 180 NG,8221,TX-0065-003,LONA FORTE GRIS OXFORD,BON_PROD,Y,1
PT-0002-0501TX-0127-002,23225,,PT-0002-0501,LONA FORTE GRIS OXFORD TST 180 NG,8222,TX-0127-002,TST 180 NEGRO SUAVE,BON_PROD,Y,1
PT-0002-0502ES-0002-009,23226,,PT-0002-0502,LONA FORTE GRIS OXFORD ESPUMA 0317 NG,8223,ES-0002-009,PEELER 030-017 NEGRO,BON_PROD,Y,1
PT-0002-0502PR-0001-001,23227,,PT-0002-0502,LONA FORTE GRIS OXFORD ESPUMA 0317 NG,8224,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,1
PT-0002-0502TX-0065-003,23228,,PT-0002-0502,LONA FORTE GRIS OXFORD ESPUMA 0317 NG,8225,TX-0065-003,LONA FORTE GRIS OXFORD,BON_PROD,Y,1
PT-0002-0503TX-0266-005,23229,,PT-0002-0503,MIA ROSA RICH TST 270 SUAVE BC,8226,TX-0266-005,MIA ROSA RICH,MATP,Y,1
PT-0002-0503TX-0127-005,23230,,PT-0002-0503,MIA ROSA RICH TST 270 SUAVE BC,8227,TX-0127-005,TST 270 BLANCO SUAVE,MATP,Y,1
PT-0002-0503PR-0001-001,23231,,PT-0002-0503,MIA ROSA RICH TST 270 SUAVE BC,8228,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,1
PT-0002-0503PG-0001-030,23232,,PT-0002-0503,MIA ROSA RICH TST 270 SUAVE BC,8229,PG-0001-030,BRASMELT PLUS 250,BON_PROD,Y,1.45
PT-0002-0504TX-0068-001,23233,,PT-0002-0504,LONA PRIX CAFE ESPUMA 0417 NG TST 180 NG SUAVE,8230,TX-0068-001,LONA PRIX CAFE,BON_PROD,Y,1
PT-0002-0504ES-0002-021,23234,,PT-0002-0504,LONA PRIX CAFE ESPUMA 0417 NG TST 180 NG SUAVE,8231,ES-0002-021,PEELER 040-014 NEGRO U,BON_PROD,Y,1
PT-0002-0504TX-0127-002,23235,,PT-0002-0504,LONA PRIX CAFE ESPUMA 0417 NG TST 180 NG SUAVE,8232,TX-0127-002,TST 180 NEGRO SUAVE,BON_PROD,Y,1
PT-0002-0504PR-0001-001,23236,,PT-0002-0504,LONA PRIX CAFE ESPUMA 0417 NG TST 180 NG SUAVE,8233,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,2
PT-0002-0505TX-0106-014,23237,,PT-0002-0505,SANDWICH ROJO TST 270 BC RIGIDO,8234,TX-0106-014,SANDWICH ROJO,BON_PROD,Y,1
PT-0002-0505TX-0127-007,23238,,PT-0002-0505,SANDWICH ROJO TST 270 BC RIGIDO,8235,TX-0127-007,TST 270 BLANCO RIGIDO,BON_PROD,Y,1
PT-0002-0505PR-0001-011,23239,,PT-0002-0505,SANDWICH ROJO TST 270 BC RIGIDO,8236,PR-0001-011,PROCESO DE FILM,BON_PROD,Y,1
PT-0002-0505PG-0001-030,23240,,PT-0002-0505,SANDWICH ROJO TST 270 BC RIGIDO,8237,PG-0001-030,BRASMELT PLUS 250,BON_PROD,Y,1.45
PT-0002-0506PR-0001-011,23241,,PT-0002-0506,LONA FORTE NEGRO KOREANO 110 NG,8238,PR-0001-011,PROCESO DE FILM,BON_PROD,Y,1
PT-0002-0506TX-0065-005,23242,,PT-0002-0506,LONA FORTE NEGRO KOREANO 110 NG,8239,TX-0065-005,LONA FORTE NEGRO,BON_PROD,Y,1
PT-0002-0506TX-0054-014,23243,,PT-0002-0506,LONA FORTE NEGRO KOREANO 110 NG,8240,TX-0054-014,KOREANO 110 NEGRO,BON_PROD,Y,1
PT-0002-0506PG-0001-025,23244,,PT-0002-0506,LONA FORTE NEGRO KOREANO 110 NG,8241,PG-0001-025,ADHESIVO SMELLTEX TPU CE 200 1.50,BON_PROD,Y,1.5
PT-0002-0507TX-0065-005,23245,,PT-0002-0507,LONA FORTE NEGRO SARGA CRUDO 1040001746,8242,TX-0065-005,LONA FORTE NEGRO,BON_PROD,Y,1
PT-0002-0507TX-0108-002,23246,,PT-0002-0507,LONA FORTE NEGRO SARGA CRUDO 1040001746,8243,TX-0108-002,SARGA FM CRUDO PASTOR,BON_PROD,Y,1
PT-0002-0507PR-0001-011,23247,,PT-0002-0507,LONA FORTE NEGRO SARGA CRUDO 1040001746,8244,PR-0001-011,PROCESO DE FILM,BON_PROD,Y,1
PT-0002-0507PG-0001-031,23248,,PT-0002-0507,LONA FORTE NEGRO SARGA CRUDO 1040001746,8245,PG-0001-031,BRASMELT TPU PX 200,BON_PROD,Y,1.5
PT-0002-0508PR-0001-027,23249,,PT-0002-0508,LONA FORTE NEGRO TST 270 NG,8246,PR-0001-027,PROCESO LAMINADO ACRILICO TELA CON TELA,BON_PROD,Y,1
PT-0002-0508TX-0065-005,23250,,PT-0002-0508,LONA FORTE NEGRO TST 270 NG,8247,TX-0065-005,LONA FORTE NEGRO,BON_PROD,Y,1
PT-0002-0508TX-0127-006,23251,,PT-0002-0508,LONA FORTE NEGRO TST 270 NG,8248,TX-0127-006,TST 270 NEGRO SUAVE,BON_PROD,Y,1
PT-0002-0509TX-0065-005,23252,,PT-0002-0509,LONA FORTE NEGRO OXFORD NEGRO,8249,TX-0065-005,LONA FORTE NEGRO,TEIMP,Y,1
PT-0002-0509PR-0001-001,23253,,PT-0002-0509,LONA FORTE NEGRO OXFORD NEGRO,8250,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,1
PT-0002-0509TX-0108-006,23254,,PT-0002-0509,LONA FORTE NEGRO OXFORD NEGRO,8251,TX-0108-006,GEORGIA NEGRO,MATP,N,1
PT-0002-0510TX-0065-005,23255,,PT-0002-0510,LONA FORTE NEGRO ESPUMA 0417 NG,8252,TX-0065-005,LONA FORTE NEGRO,MATP,Y,1
PT-0002-0510ES-0002-021,23256,,PT-0002-0510,LONA FORTE NEGRO ESPUMA 0417 NG,8253,ES-0002-021,PEELER 040-014 NEGRO U,BON_PROD,Y,1
PT-0002-0510PR-0001-001,23257,,PT-0002-0510,LONA FORTE NEGRO ESPUMA 0417 NG,8254,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,1
PT-0002-0511TX-0065-005,23258,,PT-0002-0511,LONA FORTE NEGRO ESPUMA 0417 NG TST 180 NG,8255,TX-0065-005,LONA FORTE NEGRO,BON_PROD,Y,1
PT-0002-0511ES-0002-021,23259,,PT-0002-0511,LONA FORTE NEGRO ESPUMA 0417 NG TST 180 NG,8256,ES-0002-021,PEELER 040-014 NEGRO U,BON_PROD,Y,1
PT-0002-0511TX-0127-002,23260,,PT-0002-0511,LONA FORTE NEGRO ESPUMA 0417 NG TST 180 NG,8257,TX-0127-002,TST 180 NEGRO SUAVE,BON_PROD,Y,1
PT-0002-0511PR-0001-024,23261,,PT-0002-0511,LONA FORTE NEGRO ESPUMA 0417 NG TST 180 NG,8258,PR-0001-024,PROCESO LAMINADO ACRILICO NEGRO,BON_PROD,Y,2
PT-0002-0512PR-0001-001,23262,,PT-0002-0512,LONA FORTE NEGRO KOREANO 70 NG,8259,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,1
PT-0002-0512TX-0054-010,23263,,PT-0002-0512,LONA FORTE NEGRO KOREANO 70 NG,8260,TX-0054-010,KOREANO STD NEGRO,TEIMP,Y,1
PT-0002-0512TX-0065-005,23264,,PT-0002-0512,LONA FORTE NEGRO KOREANO 70 NG,8261,TX-0065-005,LONA FORTE NEGRO,BON_PROD,Y,1
PT-0002-0513TX-0037-009,23265,,PT-0002-0513,EKO ROJO ESPUMA 0417 NG PELLON NG,8262,TX-0037-009,EKO ROJO,BON_PROD,Y,1
PT-0002-0513ES-0002-021,23266,,PT-0002-0513,EKO ROJO ESPUMA 0417 NG PELLON NG,8263,ES-0002-021,PEELER 040-014 NEGRO U,BON_PROD,Y,1
PT-0002-0513TX-0054-003,23267,,PT-0002-0513,EKO ROJO ESPUMA 0417 NG PELLON NG,8264,TX-0054-003,PELLON NEGRO,BON_PROD,Y,1
PT-0002-0513PR-0001-024,23268,,PT-0002-0513,EKO ROJO ESPUMA 0417 NG PELLON NG,8265,PR-0001-024,PROCESO LAMINADO ACRILICO NEGRO,BON_PROD,Y,2
PT-0002-0514TX-0265-003,23269,,PT-0002-0514,LONA IRIS MARINO ESPUMA 0417 NG PELLON NG,8266,TX-0265-003,LONA IRIS MARINO,TEIMP,Y,1
PT-0002-0514ES-0002-021,23270,,PT-0002-0514,LONA IRIS MARINO ESPUMA 0417 NG PELLON NG,8267,ES-0002-021,PEELER 040-014 NEGRO U,TEIMP,Y,1
PT-0002-0514TX-0054-003,23271,,PT-0002-0514,LONA IRIS MARINO ESPUMA 0417 NG PELLON NG,8268,TX-0054-003,PELLON NEGRO,TEIMP,Y,1
PT-0002-0514PR-0001-024,23272,,PT-0002-0514,LONA IRIS MARINO ESPUMA 0417 NG PELLON NG,8269,PR-0001-024,PROCESO LAMINADO ACRILICO NEGRO,BON_PROD,Y,2
PT-0002-0515TX-0265-001,23273,,PT-0002-0515,LONA IRIS NEGRO ESPUMA 0417 NG PELLON NG,8270,TX-0265-001,LONA IRIS NEGRO,TEIMP,Y,1
PT-0002-0515PR-0001-024,23274,,PT-0002-0515,LONA IRIS NEGRO ESPUMA 0417 NG PELLON NG,8271,PR-0001-024,PROCESO LAMINADO ACRILICO NEGRO,BON_PROD,Y,2
PT-0002-0515ES-0002-021,23275,,PT-0002-0515,LONA IRIS NEGRO ESPUMA 0417 NG PELLON NG,8272,ES-0002-021,PEELER 040-014 NEGRO U,TEIMP,Y,1
PT-0002-0515TX-0054-003,23276,,PT-0002-0515,LONA IRIS NEGRO ESPUMA 0417 NG PELLON NG,8273,TX-0054-003,PELLON NEGRO,TEIMP,Y,1
PT-0002-0516TX-0265-002,23277,,PT-0002-0516,LONA IRIS VERDE FOREST ESPUMA 0417 NG PELLON NG,8274,TX-0265-002,LONA IRIS VERDE FOREST,TEIMP,Y,1
PT-0002-0516ES-0002-021,23278,,PT-0002-0516,LONA IRIS VERDE FOREST ESPUMA 0417 NG PELLON NG,8275,ES-0002-021,PEELER 040-014 NEGRO U,TEIMP,Y,1
