a,b,c,d,e,f,g,h,i,j
PT-0001-0006PR-0001-001,15039,,PT-0001-0006,ALFA AZUL MARINO ESPUMA 0317 NG PELLON NG,36,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,2
PT-0001-0007ES-0002-007,15040,,PT-0001-0007,ALFA AZUL MARINO ESPUMA 0317 NG,37,ES-0002-007,PEELER 030-014 NEGRO U,BON_PROD,Y,1
PT-0001-0007PR-0001-024,15041,,PT-0001-0007,ALFA AZUL MARINO ESPUMA 0317 NG,38,PR-0001-024,PROCESO LAMINADO ACRILICO NEGRO,BON_PROD,Y,1
PT-0001-0007TX-0005-004,15042,,PT-0001-0007,ALFA AZUL MARINO ESPUMA 0317 NG,39,TX-0005-004,ALFA AZUL MARINO,BON_PROD,Y,1
PT-0001-0008TX-0005-005,15043,,PT-0001-0008,ALFA AZUL REY ESPUMA 0317 NG PELLON NG,40,TX-0005-005,ALFA AZUL REY,BON_PROD,Y,1
PT-0001-0008ES-0002-007,15044,,PT-0001-0008,ALFA AZUL REY ESPUMA 0317 NG PELLON NG,41,ES-0002-007,PEELER 030-014 NEGRO U,BON_PROD,Y,1
PT-0001-0008TX-0054-003,15045,,PT-0001-0008,ALFA AZUL REY ESPUMA 0317 NG PELLON NG,42,TX-0054-003,PELLON NEGRO,BON_PROD,Y,1
PT-0001-0008PR-0001-024,15046,,PT-0001-0008,ALFA AZUL REY ESPUMA 0317 NG PELLON NG,43,PR-0001-024,PROCESO LAMINADO ACRILICO NEGRO,BON_PROD,Y,2
PT-0001-0009TX-0196-002,15047,,PT-0001-0009,CUPRA NEGRO TST 500 NG,44,TX-0196-002,CUPRA NEGRO 1040004068,TEIMP,Y,1
PT-0001-0009PR-0001-011,15048,,PT-0001-0009,CUPRA NEGRO TST 500 NG,45,PR-0001-011,PROCESO DE FILM,BON_PROD,Y,1
PT-0001-0009TX-0127-018,15049,,PT-0001-0009,CUPRA NEGRO TST 500 NG,46,TX-0127-018,TST 500 NEGRO,MATP,Y,1
PT-0001-0009PG-0001-012,15050,,PT-0001-0009,CUPRA NEGRO TST 500 NG,47,PG-0001-012,FILM ADHESIVO SMELLTEX HM25 1.45 ROLLO,BONINSUM,Y,1.45
PT-0001-0010TX-0014-004,15051,,PT-0001-0010,BOSTON ORO BAMBU NG,48,TX-0014-004,BOSTON ORO,BON_PROD,Y,1
PT-0001-0010TX-0257-003,15052,,PT-0001-0010,BOSTON ORO BAMBU NG,49,TX-0257-003,BAMBU NEGRO,BON_PROD,N,1
PT-0001-0010PR-0001-001,15053,,PT-0001-0010,BOSTON ORO BAMBU NG,50,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,1
PT-0001-0011TX-0218-012,15054,,PT-0001-0011,MALLA 997 ARENA KOREANO 110 BC,51,TX-0218-012,MALLA 997 ARENA,TEIMP,Y,1
PT-0001-0011TX-0054-013,15055,,PT-0001-0011,MALLA 997 ARENA KOREANO 110 BC,52,TX-0054-013,KOREANO 110 BLANCO,TEIMP,Y,1
PT-0001-0011PR-0001-011,15056,,PT-0001-0011,MALLA 997 ARENA KOREANO 110 BC,53,PR-0001-011,PROCESO DE FILM,BON_PROD,Y,1
PT-0001-0011PG-0001-012,15057,,PT-0001-0011,MALLA 997 ARENA KOREANO 110 BC,54,PG-0001-012,FILM ADHESIVO SMELLTEX HM25 1.45 ROLLO,BONINSUM,Y,1.45
PT-0001-0012TX-0005-011,15058,,PT-0001-0012,ALFA CAFE ESPUMA 0417 NG PELLON NG,55,TX-0005-011,ALFA CAFE,BON_PROD,Y,1
PT-0001-0012ES-0002-075,15059,,PT-0001-0012,ALFA CAFE ESPUMA 0417 NG PELLON NG,56,ES-0002-075,PEELER 040-014 NEGRO 33,BON_PROD,Y,1
PT-0001-0012TX-0054-003,15060,,PT-0001-0012,ALFA CAFE ESPUMA 0417 NG PELLON NG,57,TX-0054-003,PELLON NEGRO,BON_PROD,Y,1
PT-0001-0012PR-0001-024,15061,,PT-0001-0012,ALFA CAFE ESPUMA 0417 NG PELLON NG,58,PR-0001-024,PROCESO LAMINADO ACRILICO NEGRO,BON_PROD,Y,2
PT-0001-0013TX-0005-021,15062,,PT-0001-0013,ALFA NARANJA LATEX BC COMFORT 3MM,59,TX-0005-021,ALFA NARANJA,BON_PROD,Y,1
PT-0001-0013ES-0026-001,15063,,PT-0001-0013,ALFA NARANJA LATEX BC COMFORT 3MM,60,ES-0026-001,LATEX COMFORT 3MM BLANCO,BON_PROD,Y,1
PT-0001-0013PR-0001-004,15064,,PT-0001-0013,ALFA NARANJA LATEX BC COMFORT 3MM,61,PR-0001-004,PROCESO LAMINADO LATEX,BON_PROD,Y,1
PT-0001-0014TX-0267-028,15065,,PT-0001-0014,DUBAI GRIS MEMORY ELASTIC 4MM,62,TX-0267-028,DUBAI GRIS,MATP,Y,1
PT-0001-0014ES-0003-011,15066,,PT-0001-0014,DUBAI GRIS MEMORY ELASTIC 4MM,63,ES-0003-011,MEMORY ELASTIC 4MM ROJO,TEIMP,Y,1
PT-0001-0014PR-0001-001,15067,,PT-0001-0014,DUBAI GRIS MEMORY ELASTIC 4MM,64,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,2
PT-0001-0015TX-0268-003,15068,,PT-0001-0015,ESTONIA CAFE ESPUMA 0417 NG,65,TX-0268-003,ESTONIA CAFÉ,MATP,Y,1
PT-0001-0015PR-0001-024,15069,,PT-0001-0015,ESTONIA CAFE ESPUMA 0417 NG,66,PR-0001-024,PROCESO LAMINADO ACRILICO NEGRO,BON_PROD,Y,1
PT-0001-0015ES-0002-021,15070,,PT-0001-0015,ESTONIA CAFE ESPUMA 0417 NG,67,ES-0002-021,PEELER 040-014 NEGRO U,TEIMP,Y,1
PT-0001-0016TX-0259-007,15071,,PT-0001-0016,WAVY NEGRO MEMORY COMFORT NARANJA 3MM EVA 0240 NG,68,TX-0259-007,WAVY NEGRO,TEIMP,Y,1
PT-0001-0016ES-0024-001,15072,,PT-0001-0016,WAVY NEGRO MEMORY COMFORT NARANJA 3MM EVA 0240 NG,69,ES-0024-001,MEMORY COMFORT NARANJA 3MM,TEIMP,Y,1
PT-0001-0016EV-0002-003,15073,,PT-0001-0016,WAVY NEGRO MEMORY COMFORT NARANJA 3MM EVA 0240 NG,70,EV-0002-003,EVA 020040 NEGRO VIC,MATP,Y,1
PT-0001-0016PR-0001-011,15074,,PT-0001-0016,WAVY NEGRO MEMORY COMFORT NARANJA 3MM EVA 0240 NG,71,PR-0001-011,PROCESO DE FILM,BON_PROD,Y,1
PT-0001-0017TX-0005-011,15075,,PT-0001-0017,ALFA CAFE ESPUMA 0317 NG PELLON NG,72,TX-0005-011,ALFA CAFE,BON_PROD,Y,1
